60902,16763
66708,16763
66721,16763
215609,16763
194781,16763
108566,24226
197241,24226
198227,24226
210255,24226
197242,24226
107062,24190
241298,24190
55179,24142
59454,24142
107602,24097
211876,24097
60662,16416
203281,16416
57209,16550
64178,16550
57209,16570
188767,16570
193267,16570
194038,16570
197903,16570
194046,16570
203855,16570
224839,16570
77689,7133
196970,17233
238523,17233
55094,3884
55687,3884
78639,3884
194260,3884
208647,3884
223301,3884
224395,3884
232137,3884
238523,3884
194264,3884
247251,3884
67846,18377
238153,18377
106411,17481
195621,17481
239337,17481
62877,6777
213390,6777
13000,654
20389,654
27587,654
189635,654
235920,654
64562,64573
117166,64573
67612,18423
54988,18056
213060,18056
189409,796
200029,796
205458,796
194900,796
107602,18082
54778,6382
227808,6382
71051,71063
115351,71063
206151,71063
249176,71063
59289,18228
65448,18228
70334,18228
107036,18228
108461,18228
194551,18228
194995,18228
196383,18228
203695,18228
210588,18228
203697,18228
203712,18228
108461,18319
114545,18319
193146,18319
211876,18319
199931,8631
199957,8631
229709,8631
236748,8631
66708,19859
66721,19859
76837,19859
193054,19859
215609,19859
198842,19859
76801,8736
78639,8736
196970,8736
199931,8736
224395,8736
226187,8736
244720,4926
244399,20171
78639,8801
224395,8801
199954,8801
234864,8801
247963,8801
80429,80449
79610,79639
108672,79639
205127,4211
205442,4211
211503,4211
23282,4173
56061,4173
75337,4173
199724,4173
11140,4112
73888,4112
214048,4112
233299,4112
195161,8220
106081,3721
197408,3721
71549,3653
76827,3653
31483,3583
54573,3583
67727,3583
10559,10599
216873,10599
217873,10599
78565,10656
247655,10656
202787,26827
57729,10733
58009,11073
202787,81564
211141,81564
192290,11623
226492,81428
251,113
204377,113
227388,113
14932,14935
25052,14935
56061,14935
77171,14935
210179,14935
217873,14935
227808,14935
217879,14935
247655,14935
201406,13099
59080,14908
190765,14908
208816,14908
213706,14908
192341,14089
219321,14089
56061,14932
78533,14932
189359,14932
107273,11697
197408,11697
69234,11589
209301,14317
214852,14317
227983,14317
200015,14317
202061,12158
199308,83
243123,83
202517,21185
412,10376
95228,10376
109420,10376
123117,10376
149316,10376
223368,10376
25678,25690
95670,25690
86346,25690
101987,25690
102932,25690
111994,25690
114955,25690
83126,25690
25702,25690
128024,25690
91101,25690
110006,25690
33789,25690
1405,25690
102944,25690
140647,25690
2651,25690
147350,25690
152402,25690
180,25690
202787,25690
243001,25690
193054,21762
193345,21762
200262,21762
239465,21762
12671,12708
213038,12708
230485,12708
243368,21531
189251,24555
189301,24555
191325,24555
199263,24555
